Name|Abstract|Label
Battle_of_Fort_Driant|"The Battle of Fort Driant was a constituent battle in the 1944 Battle of Metz during the Lorraine Campaign and the greater Siegfried Line Campaign. The battle was on occupied French territory between the forces of the United States Third Army under the command of General George S. Patton and the forces of Nazi Germany under General Otto von Knobelsdorff.


== Location and fortifications ==

Fort Driant was located five miles southwest of Metz just west of the Moselle River. Originally built in 1902 from the Germans and renamed 1919 after Colonel Émile Driant the fort was continuously reinforced by both the French and German armies. Fort Driant was made from steel reinforced concrete it was also surrounded by a deep dry moat and barbed wire. It housed five main gun batteries of 150mm guns infantry trenches and armored machine gun and observation posts. From its commanding position it could direct heavy fire in the Moselle Valley. The fort could also bring down flanking fire that produced..."|1
Battle_of_Les_Avins|"The Battle of Les Avins or Avein took place on 20 May 1635 outside the town of Les Avins near Huy in modern Belgium then part of the Bishopric of Liège. It was the first major engagement of the 1635 to 1659 Franco-Spanish War a connected conflict of the Thirty Years' War.  
France supported the Dutch Republic in its war of independence from Spain but avoided direct involvement. In February 1635 the two countries agreed to divide the Spanish Netherlands and in May a French army of 27000 entered the Bishopric of Liège intending to link up with the Dutch at Maastricht and attack Leuven. 
Outside Les Avins they ran into a Spanish force of between 8500 to 13000; the French made a frontal assault and over-ran their positions inflicting around 4000 – 5000 casualties including 1500 prisoners.


== Background ==

17th century Europe was dominated by the struggle between the Bourbon kings of France and their Habsburg rivals in Spain and the Holy Roman Empire. In 1938 historian CV..."|1
Battle_of_Rajovka|"The Battle of Rajovka took place on September 20 1708 near Rajovka during the Swedish invasion of Russia in the Great Northern War. The Swedish army of about 2400 men under the command of Charles XII defeated the Russian army of 10000 men under Christian Felix Bauer after a fierce cavalry skirmish where the king himself was in great danger. 
After having fought the battle of Malatitze the victorious Swedish army marched towards Tatarsk in order to fight the Russians under tsar Peter I. However after a while a great number of Russian horse were spotted having stalked the Swedish units. Charles immediately put himself in charge of the Östgöta kavalleriregemente to persecute the fleeing Russians. Unknown to the Swedes a great number of other Russian horse were concealed behind some small woods near the exposed Russian cavalry in order to ambush Charles and his Östgöta cavalry who were running straight into the trap. For the moment the Swedes had less than 1000 men against close to..."|1
Krynickillus_melanocephalus|"Krynickillus melanocephalus is a species of air-breathing land slug a shell-less terrestrial gastropod mollusk in the family Agriolimacidae.


== Distribution ==
The natural distribution area of Krynickillus melanocephalus is Caucasus Crimea and Turkey. It has been introduced into some European countries – Germany Latvia Russian Federation (Moscowskaya oblastj Novgorodskaya oblastj and Tverskaya oblastj).


== References... =="|0
Richard_Stone_(painter)|"Richard Stone (born 5 June 1951) is a British painter specialising in portraits.  In 1973 at the age of 22 he became the youngest commissioned royal portrait painter in almost 200 years.  Stone claims to have secured the commission by cold-calling Clarence House and saying ""I could be a latter-day Rembrandt"". He has completed commissioned portraits of Queen Elizabeth II the Queen Mother Princess Margaret Princes Philip Charles and Andrew. He also painted the official Downing Street portrait of Margaret Thatcher who upon inspecting his work requested that he add her handbag to the portrait. His portraits hang at Buckingham Palace the National Portrait Gallery (London) and the National Portrait Gallery (Australia).


== References ==


== External links ==
Richard Stone: Official Website..."|0
Battle_of_Lundby|"The Battle of Lundby happened south of Lundby in northeast Himmerland on the 3 July 1864 in the Second War of Schleswig. A Danish company of the First Regiment tried a head-on bayonet charge down a long hillside but was stopped 20 meters in front of the earth dike that the Prussians lay in cover behind. This battle was the last in the Second War of Schleswig and resulted in great Danish losses.


== Background ==
At the time the fight in Jutland had really been given up. The army had been severely defeated at Dybbøl in April and a few days after displaced from Als. The remaining forces had withdrawn north of Limfjorden and were being evacuated from Frederikshavn.
The First Regiment under Lieutenant-Colonel H.C.J. Beck had been left behind in Nørresundby to hide the retreat as long as possible secure the sea-inlet crossings and - if possible without disproportionate risk - advance southwards.
On 1 July the Prussians sent three scouting units north from Hobro. Beck decided immediately to..."|1
Siege_of_Roses_(1808)|"The Siege of Roses or Siege of Rosas from 7 November to 5 December 1808 saw an Imperial French corps led by Laurent Gouvion Saint-Cyr invest a Catalan and Spanish garrison commanded by Peter O'Daly. After a siege lasting a month in which the haven and town of Roses was captured and the nearby Trinity Castle invested by over 13000 French and Italian infantry artillery and cavalry with heavy siege trains on the hills above the Citadel was surrendered to the Napoleonic forces. Roses (Rosas) is located 43 kilometres (27 mi) northeast of Girona Catalonia Spain. The action occurred during the Peninsular War part of the Napoleonic Wars.
In the summer and fall of 1808 an Imperial French corps under Guillaume Philibert Duhesme was isolated in Barcelona by a 24000-man Spanish army led by Juan Miguel de Vives y Feliu. With 23000 men Gouvion Saint-Cyr moved from the French border to relieve Duhesme's troops. The first obstacle to Gouvion Saint-Cyr's mission was the haven of Roses defended..."|1
André_Giroux_(painter)||0
Battle_of_Manila_(1570)|"The Battle of Manila (1570) (Spanish: Batalla de Manila en el 1570) was fought in Manila between the native Filipinos led by Rajah Sulayman a vassal to the Sultan of Brunei and the Spaniards led by Martin de Goiti Maestre de Campo on May 24 1570. The forces under Goiti were victorious and as a result Manila became the capital of the Spanish East Indies.


== Events ==
 By the late 1560s Miguel López de Legazpi who had left Mexico with a retinue of Spanish and Mexican soldiers was already searching for a more suitable place to establish the Spanish colonial capital having found first Cebu and then Iloilo undesirable because of insufficient food supplies and attacks by Portuguese pirates. He was in Cebu when he first heard about a well-supplied fortified settlement to the north and sent messages of friendship to its ruler Rajah Matanda whom he addressed as ""King of Luzon."" In 1570 Legazpi put Martin de Goiti in command of an expedition north to Manila and tasked him with negotiating..."|1
Sergio_Aragonés||0
Battle_of_Kujin|The Battle of Kujin (25–26 October 1950) also known as the Battle of the Broken Bridge took place during the United Nations Command (UN) offensive towards the Yalu River which followed the North Korean invasion of South Korea at the start of the Korean War. The battle was fought between Australian forces from 3rd Battalion Royal Australian Regiment (3 RAR) and elements of the 17th Tank Brigade of the Korean People's Army (KPA) over a key bridge across the Taeryong River near Kujin North Korea. On 25 October the 27th British Commonwealth Brigade had resumed their advance towards Pakchon after crossing the Chongchon River with 3 RAR as the lead battalion. Arriving at Kujin the Australians discovered that the centre span of the 300-metre (330 yd) concrete bridge had been demolished by KPA engineers blocking their passage across the river. A platoon-sized reconnaissance patrol crossed the river using debris from the destroyed span; however it was soon forced to withdraw by KPA holding...|1
Wassily_Kandinsky|"Wassily Wassilyevich Kandinsky (; Russian: Василий Васильевич Кандинский tr. Vasiliy Vasilyevich Kandinskiy IPA: [vɐˈsʲilʲɪj vɐˈsʲilʲjɪvʲɪtɕ kɐnʲˈdʲinskʲɪj]; 16 December [O.S. 4 December] 1866 – 13 December 1944) was a Russian painter and art theorist. Kandinsky is generally credited as the pioneer of abstract art. Born in Moscow Kandinsky spent his childhood in Odessa (today Ukraine) where he graduated at Grekov Odessa Art school. He enrolled at the University of Moscow studying law and economics. Successful in his profession—he was offered a professorship (chair of Roman Law) at the University of Dorpat (today Tartu Estonia)—Kandinsky began painting studies (life-drawing sketching and anatomy) at the age of 30.
In 1896 Kandinsky settled in Munich studying first at Anton Ažbe's private school and then at the Academy of Fine Arts. He returned to Moscow in 1914 after the outbreak of World War I. Following the Russian Revolution Kandinsky ""became an insider in the cultural administration..."|0
Anthony_Preston_(record_producer)|"Anthony Preston is an American Grammy-nominated record producer songwriter and music executive. He frequently works with will.i.am.


== Early life ==
Preston was born and raised in Texarkana Texas to a teacher mother and minister father and has two brothers. In addition to singing he has played various instruments including piano oboe saxophone drums and bassoon.


== Career ==
Early in his career Preston moved to Atlanta Georgia and began working with various producers including Dallas Austin and Anthony Dent. Unsatisfied with the progress of his career he considered quitting until he met and began working and touring around the world with Chris Willis and then David Guetta soon after. Preston co-wrote ""Night of Your Life"" Guetta's 2011 single featuring Jennifer Hudson which peaked at #81 on the Billboard Hot 100.In 2012 Preston was introduced to will.i.am and they began to collaborate regularly with Preston becoming creative liaison for will.i.am music group. In addition..."|0
François_Boucher||0
King_of_Kings_(horse)|"King of Kings (27 February 1995 – 23 February 2015) was an Irish Thoroughbred racehorse and sire. In a career that lasted from May 1997 to June 1998 he ran seven times and won five races. After establishing himself as one of the leading colts of his generation in Ireland as a two-year-old when his wins included the Group One National Stakes he recorded his most important win when he travelled to England to win the 2000 Guineas on his first start of 1998. After a disappointing run in The Derby he was retired to stud. He died in South Africa at the age of twenty.


== Background ==
King of Kings a bay horse with a white star and three white feet was bred in Ireland by J. T. Jones & Ron Con Ltd. He was sired by the fourteen times Champion sire Sadler's Wells out of the mare Zummerudd. As a weanling King of Kings was consigned by the Barronstown Stud to the Tattersalls sales in December 1995 where he was bought for 250000 guineas by the bloodstock agent Dermot ""Demi"" O'Byrne on behalf of..."|0
Battle_of_Hamath|"The Battle of Hamath sometimes called the Battle of Hama was a battle between the Babylonians and the fleeing remnants of the Egyptian army defeated at Carchemish. It was fought near the ancient city Hamath on the Orontes.
In this battle Nebuchadrezzar further shattered the remnants of Necho II's Egyptian army that he had previously defeated in the Battle of Carchemish. The battle is mentioned in the Babylonian Chronicles now housed in the British Museum. In the Chronicles it states that Nebuchadrezzar II killed almost all of the Egyptian combatants so exhausted that none of them returned to their own country. The Chronicles do not mention Necho and the Bible only mentions 'Necho's army' and it is possible that Necho wasn't present and the Egyptian army was just a garrison army. He was dealing with various rebellions in the delta.


== Notes... =="|1
Ahmad_Morid||0
Blue_maomao|"The blue maomao (Scorpis violacea) also known as the violet sweep blue sweep or hardbelly is a species of marine ray-finned fish a member of the subfamily Scorpidinae part of the sea chub family Kyphosidae. It is native to the southwestern Pacific Ocean from Australia to New Zealand and the Kermadec Islands where it can be found in inshore waters from the surface to depths of 30 m (98 ft).  This fish can reach a length of 40 cm (16 in).  It is commercially important and is also a popular game fish.


== Description ==
The blue maomao has a laterally compressed and relatively deep body with a noticeably forked tail. They have protrusible jaws equipped with a number of rows of small closely set teeth which are used to capture larger zooplankton. The adults are deep blue dorsally and pale ventrally at night they change colour to a mottled dark green. The juveniles are grey with a yellow anal fin. They can grow to a fork length45 centimetres (18 in). The dorsal fin has 9 spines and..."|0
Second_Boer_War|"The Second Boer War (11 October 1899 – 31 May 1902) was fought between the British Empire and two independent Boer states the South African Republic (Republic of Transvaal) and the Orange Free State over the Empire's influence in South Africa. The trigger of the war was the discovery of diamonds and gold in the Boer states. The war is also known as the Boer War Anglo-Boer War or South African War. Initial Boer attacks were successful and although British reinforcements later reversed these the war continued for years with Boer guerrilla warfare until harsh British counter-measures including a scorched earth policy brought the Boers to terms.
The Boers were well armed and the war started when they struck first besieging Ladysmith Kimberley and Mafeking in early 1900 and winning important battles at Colenso Magersfontein and Stormberg. Staggered under-prepared and overconfident the British responded bringing in modest numbers of soldiers and fought back with little initial..."|1
Chu–Han_Contention||1
Homer_Flynn|...|0
Australian_mottled_moray|"The Australian mottled moray (in Australia) and mottled moray (in New Zealand) Gymnothorax prionodon is a moray eel of the family Muraenidae found at depths down to 80 m.  Their length is between 80 and 150 cm.


== References ==

""Gymnothorax prionodon"". Integrated Taxonomic Information System. Retrieved 19 March 2006.
Froese Rainer and Pauly Daniel eds. (2006). ""Gymnothorax prionodon"" in FishBase. January 2006 version.
Tony Ayling & Geoffrey Cox Collins Guide to the Sea Fishes of New Zealand  (William Collins Publishers Ltd Auckland New Zealand 1982) ISBN 0-00-216987-8..."|0
Battle_of_Kursk|The Battle of Kursk was a Second World War engagement between German and Soviet forces on the Eastern Front near Kursk (450 kilometres or 280 miles south-west of Moscow) in the Soviet Union during July and August 1943. The battle began with the launch of the German offensive Operation Citadel (German: Unternehmen Zitadelle) on 5 July which had the objective of pinching off the Kursk salient with attacks on the base of the salient from north and south simultaneously. After the German offensive stalled on the northern side of the salient on 12 July the Soviets commenced their Kursk Strategic Offensive Operation with the launch of Operation Kutuzov (Russian: Кутузов) against the rear of the German forces in the northern side. On the southern side the Soviets also launched powerful counterattacks the same day one of which led to a large armoured clash the Battle of Prokhorovka. On 3 August the Soviets began the second phase of the Kursk Strategic Offensive Operation with the launch...|1
Balkan_Campaign_(World_War_II)|...|1
Operation_Allied_Protector|"Operation Allied Protector was an anti-piracy military operation undertaken by NATO forces from March – August 2009 in the Gulf of Aden the Indian Ocean and the Guardafui Channel to protect maritime routes from pirates within the International Recommended Transit Corridor (IRTC). It was the second NATO anti-piracy operation in area following Operation Allied Provider and was succeeded by Operation Ocean Shield.
From 24 March – June 2009 the operation was conducted by Standing NATO Maritime Group One (SNMG1). This was the first time that SNMG1 which had previously operated in the Eastern Atlantic was deployed to Southeast Asia. From 29 June – August 2009 Standing NATO Maritime Group Two (SNMG2) took over responsibility from SNMG1.


== Operations ==
On 16 March 2009 SNMG1 departed from Souda Bay for the Gulf of Aden.On 28 March 2009 USS Halyburton received a piracy emergency call from Grandezza a 37-metre (121 ft) Maldivian-flagged yacht in the Gulf of Aden. The vessel reported that..."|1
Battle_of_Lemnos_(1913)|"The Battle of Lemnos (Greek: Ναυμαχία της Λήμνου Turkish: Mondros Deniz Muharebesi) fought on 18 January [O.S. 5 January] 1913 was a naval battle during the First Balkan War which defeated the second and last attempt of the Ottoman Empire to break the Greek naval blockade of the Dardanelles and reclaim supremacy over the Aegean Sea from Greece.


== Prelude ==
Following the loss of a number of Aegean Islands to Greece during the first phase of the war in 1912 and its first defeat at the Battle of Elli the Ottoman Navy sought to check Greek progress by destroying the Greek fleet docked at the port of Moudros Lemnos. However it faced the problem of countering the Greek flagship the Georgios Averof which had already defeated them at Elli. The Ottomans developed the plan to slip a fast cruiser through the Greek patrols for a raiding mission in the Aegean hoping to draw off some Greek ships possibly even the Georgios Averof itself in pursuit leaving the remainder weakened for the..."|1
Battle_of_Canton_(1857)|"The Battle of Canton was fought by British and French forces against Qing China on 28–31 December 1857 during the Second Opium War.  The British High Commissioner Lord Elgin was keen to take the city of Canton (Guangzhou) as a demonstration of power and to capture Chinese official Ye Mingchen who had resisted British attempts to implement the 1842 Treaty of Nanking. Elgin ordered an Anglo-French force to take the town and an assault began on 28 December. Allied forces took control of the city walls on 29 December but delayed entry into the city itself until 5 January. They subsequently captured Ye and some reports state they burnt down much of the town. The ease with which the allies won the battle was one of the reasons for the signing of the Treaty of Tientsin in 1858.


== Prelude ==
The British had been permitted access to Canton (Guangzhou) at the end of the First Opium War under the terms of the 1842 Treaty of Nanking but were being illegally barred from entry by its viceroy Ye Mingchen..."|1
Battle_of_Sana'a_(2011)||1
Operation_Summer_Rains|"The 2006 Israel–Gaza conflict known in Israel as Operation ""Summer Rains"" (Hebrew: מבצע גשמי קיץ‎ Mivtza Gishmey Kayitz) was a series of battles between Palestinian militants and the Israel Defense Forces (IDF) during summer 2006 prompted by the capture of Israeli soldier Gilad Shalit by Palestinian militants on 25 June 2006. Large-scale conventional warfare occurred in the Gaza Strip starting on 28 June 2006 which was the first major ground operation in the Gaza Strip since Israel's unilateral disengagement plan was implemented between August and September 2005.
Israel's stated objectives in Operation Summer Rains were to suppress the firing of Qassam rockets from Gaza into the western Negev and to secure the release of Corporal Gilad Shalit who had been captured by Palestinian militants. Shalit was captured amid a background of violence between the IDF and Palestinian militant groups since the Israeli withdrawal from Gaza. According to statistics published by the Israeli government..."|1
Jack-knifefish|"The jack-knifefish (Equetus lanceolatus) is a species of fish in the family Sciaenidae the drums and croakers. It is native to the western Atlantic Ocean where its distribution extends along the eastern coasts of the Americas from the Carolinas in the United States to Brazil including the Caribbean. Other common names include donkey fish and lance-shaped ribbonfish.


== Description ==
This fish reaches about 25 centimeters in maximum length. The first dorsal fin is very tall. The body is gray in color with three brown or black bands. The first two bands are small and vertical and the third extends from the tip of the tall dorsal fin down the body to the tip of the tail fin.


== Habitat ==
This marine fish is mostly found along coasts in waters up to 60 meters deep especially in reef habitat.


== Biology ==
This species feeds on small invertebrates and sometimes detritus.


== Uses ==
This species is sometimes kept in marine aquaria. It can be bred in captivity.


== Conservation ==
This..."|0
Raman_Jaraš||0
Gloydius_halys|"Common names:  Siberian pit viper Halys viper Halys pit viper more.Gloydius halys is a venomous pitviper species found within a wide range that stretches across Asia from Russia east of the Urals eastwards through China. Five subspecies are currently recognized including the nominotypical form described here.


== Description ==
Gloydius halys grows to a maximum total length of 59 cm (23 in) which was for a female with an included tail length of 68 mm (2.7 in). The largest male on record measured 53 cm (21 in) in total length which included a tail length of 80 mm (3.1 in). The body build is described as moderately stout with a snout that is slightly upturned when viewed from the side.Dorsally G. halys is grayish pale brown reddish or yellowish with large dark spots or crossbars the borders of which are serrated. One or two lateral series of smaller dark spots are present. There is a wide dark stripe behind the eye bordered by light stripes both above and below. The venter..."|0
2004_French–Ivorian_clashes||1
Bombardment_of_Tourane|"Bombardment of Tourane or Bombardment of Đà Nẵng may refer to:

Bombardment of Tourane (1847)
Bombardment of Tourane (1856)
Siege of Tourane (1858–1860)..."|1
Siege_of_Dapur|"The Siege of Dapur occurred as part of Pharaoh Ramesses II's campaign to suppress Galilee and conquer Syria in 1269 BC. He described his campaign on the wall of his mortuary temple the Ramesseum in Thebes Egypt. The inscriptions say that Dapur was ""in the land of Hatti"".  Although Dapur has often been identified with Tabor in Canaan Egyptologist Kenneth Kitchen argues that this identification is incorrect and that the Dapur in question was in Syria north of Kadesh.Egyptian reliefs depict Dapur as a heavily fortified settlement with both inner and outer walls and situated on a rocky hill which was usual for Bronze Age settlements in Syria and abroad.
Contemporary illustrations of the siege show the use of ladders and chariots with soldiers climbing scale ladders supported by archers. Six of the sons of Ramesses still wearing their side locks also appear on those depictions of the siege. Those include:

King's son of his body his beloved Khaemweset.
King's son of his body his..."|1
Siege_of_Santarém_(1184)||1
Blockade_of_Germany|The Blockade of Germany or the Blockade of Europe occurred from 1914 to 1919. It was a prolonged naval operation conducted by the Triple-Entente powers  during and after World War I in an effort to restrict the maritime supply of goods to the Central Powers which included Germany Austria-Hungary and the Ottoman Empire. It is considered one of the key elements in the eventual Allied victory in the war.  The German Board of Public Health in December 1918 claimed that 763000 German civilians died from starvation and disease caused by the blockade up until the end of December 1918. An academic study done in 1928 put the death toll at 424000. An additional 100000 people may have died during the continuation blockade in 1919.Both Germany and the United Kingdom relied heavily on imports to feed their population and supply their war industry.  Imports of foodstuffs and war materiel of European belligerents came primarily from the Americas and had to be shipped across the Atlantic Ocean...|1
2015_Burkinabé_coup_d'état||1
Buffalo_Soldier_tragedy_of_1877|"The Buffalo Soldier tragedy of 1877 also known as the Staked Plains Horror occurred when a combined force of Buffalo Soldier troops of the 10th Cavalry and local buffalo hunters wandered for five days in the near waterless Llano Estacado region of north-west Texas and eastern New Mexico during July of a drought year where four soldiers and one buffalo hunter died.Due to the telegraph news of the ongoing event and speculation reached Eastern newspapers where it was erroneously reported that the expedition had been massacred. Later after the remainder of the group returned from the Llano the same papers declared them ""back from the dead.""


== Buffalo Hunters' War ==

A large band of Comanche warriors and their families about 170 left their reservation in Indian Territory in December 1876 for the Llano Estacado of Texas. In February 1877 they attacked a group of buffalo hunters and stole their stock while wounding several hunters one fatally. On March 18 the buffalo hunters struck..."|1
Goanna_fish|"The goanna fish Australian halosaur or common halosaur Halosaurus pectoralis is a halosaur of the genus Halosaurus found in the south west Pacific Ocean.


== References ==
Froese Rainer and Pauly Daniel eds. (2006). ""Halosaurus pectoralis"" in FishBase. April 2006 version.
Tony Ayling & Geoffrey Cox Collins Guide to the Sea Fishes of New Zealand  (William Collins Publishers Ltd Auckland New Zealand 1982) ISBN 0-00-216987-8..."|0
Battle_of_Gibeah|...|1
Iraqi–Kurdish_conflict||1
Galician_campaign_(1384)|"The Galician Campaign of 1384 was a Portuguese naval campaign commanded by a Castillian noble Don Pedro de Trastámara who sided with John I of Portugal. The Portuguese whose main ship was the Royal galley itself made a series of attacks on Galicia conquering the towns of Baiona A Coruña and Neda and burning the coastal town of Ferrol to the ground. Additionally the Portuguese destroyed 2 large Castilian ships and captured a galley. All three ships were carrying supplies to the Castilian army besieging Lisbon.
When the Portuguese returned to Porto celebrations were held to honour their victory.


== See also ==
History of Portugal
Kingdom of Portugal
Treaty of Windsor (1386)
João das Regras
Hundred Years War


== Notes ==


== References ==
Maria Helena da Cruz Coelho Reis de Portugal - D. João I Círculo de Leitores Lisboa 2005 Vol. X pp 48..."|1
